2026-06-18 22:18:09 | INFO | api | Ejecutando GET /posts/1
2026-06-18 22:18:10 | INFO | api | Ejecutando POST /posts
2026-06-18 22:18:11 | INFO | api | Ejecutando DELETE /posts/1
2026-06-18 22:26:16 | INFO | api | Ejecutando GET /posts/1
2026-06-18 22:26:17 | INFO | api | Ejecutando POST /posts
2026-06-18 22:26:25 | INFO | api | Ejecutando DELETE /posts/1
2026-06-18 22:29:35 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:29:50 | INFO | ui | Validando login exitoso
2026-06-18 22:29:53 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:30:12 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:30:20 | INFO | ui | Validando login invalido: usuario_invalido
2026-06-18 22:30:23 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:30:32 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:30:38 | INFO | ui | Validando login invalido: password_invalida
2026-06-18 22:30:41 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:30:49 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:30:56 | INFO | ui | Validando catalogo de productos
2026-06-18 22:31:00 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:31:07 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:31:14 | INFO | ui | Validando agregado de producto al carrito
2026-06-18 22:31:31 | ERROR | tests | Test fallido: test_agregar_primer_producto_al_carrito. Screenshot: C:\Users\Barbara\Desktop\AUTOMATIZACION QA\proyecto-final-automation-testing-barbara-bernhard\screenshots\20260618_223130_test_agregar_primer_producto_al_carrito.png
2026-06-18 22:31:31 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:31:38 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:31:45 | INFO | ui | Validando remocion de producto
2026-06-18 22:31:50 | ERROR | tests | Test fallido: test_remover_producto_del_carrito_actualiza_contador. Screenshot: C:\Users\Barbara\Desktop\AUTOMATIZACION QA\proyecto-final-automation-testing-barbara-bernhard\screenshots\20260618_223149_test_remover_producto_del_carrito_actualiza_contador.png
2026-06-18 22:31:50 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:31:58 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:32:06 | INFO | ui | Validando flujo completo de checkout
2026-06-18 22:32:21 | ERROR | tests | Test fallido: test_checkout_completo_finaliza_compra. Screenshot: C:\Users\Barbara\Desktop\AUTOMATIZACION QA\proyecto-final-automation-testing-barbara-bernhard\screenshots\20260618_223220_test_checkout_completo_finaliza_compra.png
2026-06-18 22:32:21 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:35:38 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:35:47 | INFO | ui | Validando agregado de producto al carrito
2026-06-18 22:35:52 | INFO | tests | Cerrando navegador Chrome
